proper_time,time,nodes,dofs,levels,alpha,mass,constraint
6.551809543174117,29.137056350708008,2502,2377,20,0.1895293026420123,0.009435017903645834,1.392805499841962e-6
6.551824011354202,29.13713264465332,2502,2377,20,0.18975669092235012,0.00946044921875,1.3930706656102032e-6
6.5518384968748045,29.137208938598633,2502,2377,20,0.18998386302493042,0.009485880533854168,1.3929735082896252e-6
6.551852999719411,29.137285232543945,2502,2377,20,0.19021081827279593,0.009485880533854168,1.3938228759398438e-6
6.551867519871451,29.137361526489258,2502,2377,20,0.19043755600601683,0.009511311848958334,1.3933373981067029e-6
6.551882057314304,29.13743782043457,2502,2377,20,0.19066407558155823,0.009511311848958334,1.3938462594792276e-6
6.551896612031304,29.137514114379883,2508,2383,20,0.1908903763731289,0.0095367431640625,1.3939308851724864e-6
6.551911184005738,29.137590408325195,2514,2389,20,0.19111645777108674,0.0095367431640625,1.3942496141789667e-6
6.551925773220843,29.137666702270508,2508,2383,20,0.19134231918228087,0.009562174479166668,1.3941273500632846e-6
6.551940379659819,29.13774299621582,2508,2383,20,0.19156796002987192,0.009562174479166668,1.3942518066353008e-6
6.551955003305815,29.137819290161133,2508,2383,20,0.19179337975324373,0.009587605794270834,1.3938349442326834e-6
6.551969644141943,29.137895584106445,2508,2383,20,0.19201857780784826,0.009587605794270834,1.3942857528939248e-6
6.551984302151266,29.137971878051758,2508,2383,20,0.19224355366506835,0.009613037109375,1.393670594494874e-6
6.55199897731682,29.13804817199707,2508,2383,20,0.19246830681206967,0.009613037109375,1.3942248397374958e-6
6.552013669621591,29.138124465942383,2508,2383,20,0.19269283675166177,0.009638468424479168,1.3936038054703553e-6
6.552028379048534,29.138200759887695,2514,2389,20,0.19291714300213672,0.009638468424479168,1.3948902098301566e-6
6.552043105580565,29.138277053833008,2514,2389,20,0.1931412250971849,0.009663899739583334,1.395946372696999e-6
6.552057849200566,29.13835334777832,2514,2389,20,0.19336508258566273,0.009663899739583334,1.395946372696999e-6
6.552072609891388,29.138429641723633,2508,2383,20,0.19358871503149183,0.0096893310546875,1.3944155056114078e-6
6.552087387635843,29.138505935668945,2508,2383,20,0.1938121220135267,0.009714762369791668,1.3952041593362826e-6
6.5521021824167125,29.138582229614258,2508,2383,20,0.1940353031253819,0.009714762369791668,1.3953238839359476e-6
6.552116994216751,29.13865852355957,2508,2383,20,0.19425825797529106,0.009740193684895834,1.395403423498888e-6
6.552131823018687,29.138734817504883,2508,2383,20,0.19448098618595808,0.009740193684895834,1.3958173393179221e-6
6.552146668805213,29.138811111450195,2502,2377,20,0.1947034873944089,0.009765625,1.396100868296195e-6
6.552161531558997,29.138887405395508,2502,2377,20,0.19492576125185537,0.009765625,1.3956401246472133e-6
6.552176411262681,29.13896369934082,2496,2371,20,0.19514780742349733,0.009791056315104168,1.3949191821168585e-6
6.552191307898882,29.139039993286133,2496,2371,20,0.19536962558847812,0.009791056315104168,1.3954497307848747e-6
6.552206221450195,29.139116287231445,2490,2365,20,0.19559121543959015,0.009816487630208334,1.3956362833249685e-6
6.552221151899188,29.139192581176758,2490,2365,20,0.1958125766832345,0.009816487630208334,1.395942580836372e-6
6.552236099228412,29.13926887512207,2484,2359,20,0.1960337090392147,0.0098419189453125,1.3963763573824891e-6
6.552251063420392,29.139345169067383,2484,2359,20,0.196254612240623,0.0098419189453125,1.3962492793863082e-6
6.552266044457636,29.139421463012695,2484,2359,20,0.19647528603365547,0.009867350260416668,1.3961361525740185e-6
6.552281042322634,29.139497756958008,2484,2359,20,0.19669573017748265,0.009892781575520834,1.3969652931736135e-6
6.552296056997854,29.13957405090332,2478,2353,20,0.1969159444440752,0.009892781575520834,1.3962857123527385e-6
6.552311088465753,29.139650344848633,2478,2353,20,0.19713592861809173,0.009918212890625,1.3964650347368192e-6
6.5523261367087695,29.139726638793945,2484,2359,20,0.197355682496666,0.009918212890625,1.396793206301288e-6
6.552341201709324,29.139802932739258,2484,2359,20,0.1975752058893226,0.009943644205729168,1.397036645628197e-6
6.552356283449826,29.13987922668457,2484,2359,20,0.19779449861782317,0.009943644205729168,1.396732026267213e-6
6.552371381912673,29.139955520629883,2484,2359,20,0.1980135605159145,0.009969075520833334,1.396732026267213e-6
6.552386497080247,29.140031814575195,2484,2359,20,0.19823239142928045,0.009969075520833334,1.3970478537177916e-6
6.552401628934918,29.140108108520508,2484,2359,20,0.19845099121535967,0.0099945068359375,1.3977782316061483e-6
6.552416777459049,29.14018440246582,2484,2359,20,0.19866935974318883,0.0099945068359375,1.3972086966280063e-6
6.5524319426349935,29.140260696411133,2484,2359,20,0.19888749689326202,0.010019938151041668,1.3974529964001434e-6
6.5524471244450915,29.140336990356445,2490,2365,20,0.19910540255794673,0.010045369466145834,1.3973552271992203e-6
6.552462322871681,29.140413284301758,2490,2365,20,0.199323076639145,0.010045369466145834,1.3980049519351035e-6
6.552477537897093,29.14048957824707,2490,2365,20,0.1995405190512533,0.01007080078125,1.397255690599163e-6
6.552492769503644,29.140565872192383,2490,2365,20,0.19975772971910155,0.01007080078125,1.3984951922038653e-6
6.552508017673653,29.140642166137695,2490,2365,20,0.19997470857816704,0.010096232096354168,1.3984167730697085e-6
6.552523282389431,29.140718460083008,2490,2365,20,0.20019145557449822,0.010096232096354168,1.3985875816709704e-6
6.552538563633291,29.14079475402832,2484,2359,20,0.20040797066454433,0.010121663411458334,1.3994320403173086e-6
6.552553861387537,29.140871047973633,2484,2359,20,0.20062425381502638,0.010121663411458334,1.3978724156367523e-6
6.552569175634471,29.140947341918945,2484,2359,20,0.200840305002759,0.0101470947265625,1.398700777498124e-6
6.5525845063563946,29.141023635864258,2484,2359,20,0.20105612421452312,0.0101470947265625,1.3993845913008202e-6
6.552599853535615,29.14109992980957,2484,2359,20,0.20127171144691816,0.010172526041666668,1.3994495959198372e-6
6.552615217154427,29.141176223754883,2478,2353,20,0.20148706670620856,0.010197957356770834,1.3996690565995944e-6
6.552630597195135,29.141252517700195,2484,2359,20,0.20170219000817818,0.010197957356770834,1.3999757707557678e-6
6.552645993640044,29.141328811645508,2478,2353,20,0.20191708137799794,0.010223388671875,1.398626737258337e-6
6.552661406471457,29.14140510559082,2458,2347,20,0.2021317408501178,0.010223388671875,1.3991677337498963e-6
6.5526768356716865,29.141481399536133,2458,2347,20,0.20234616846801562,0.010248819986979168,1.399479359162189e-6
6.552692281223042,29.141557693481445,2458,2347,20,0.2025603642841382,0.010248819986979168,1.399479359162189e-6
6.552707743107845,29.141633987426758,2458,2347,20,0.20277432835975018,0.010274251302083334,1.4000378353472948e-6
6.552723221308414,29.14171028137207,2458,2347,20,0.20298806076477502,0.010274251302083334,1.4004018779836817e-6
6.5527387158070765,29.141786575317383,2458,2347,20,0.20320156157767133,0.0102996826171875,1.3996170651836864e-6
6.552754226586171,29.141862869262695,2452,2341,20,0.20341483088527598,0.010325113932291668,1.399914516859922e-6
6.552769753628035,29.141939163208008,2452,2341,20,0.20362786878268585,0.010325113932291668,1.4006844567786585e-6
6.552785296915015,29.14201545715332,2464,2353,20,0.20384067537307476,0.010350545247395834,1.4001616194747746e-6
