proper_time,time,nodes,dofs,levels,alpha,mass
6.535057319189475,14.564453125,731,655,13,0.5726394186894624,4.973958333333334
6.540649294149286,14.57421875,731,655,13,0.572595299723619,4.973958333333334
6.546240850914154,14.583984375,731,655,13,0.5725539117849415,4.973958333333334
6.551832016233369,14.59375,731,655,13,0.5725152718186947,4.973958333333334
6.557422817018871,14.603515625,731,655,13,0.5724793961623739,4.973958333333334
6.563013280339365,14.61328125,731,655,13,0.5724463005545345,5.0
6.568603433414501,14.623046875,731,655,13,0.5724160001424459,5.0
6.574193303609138,14.6328125,731,655,13,0.5723885094893187,5.0
6.579782918427676,14.642578125,731,655,13,0.5723638425824827,5.0
6.58537230550847,14.65234375,731,655,13,0.5723420128411245,5.0
6.590961492618227,14.662109375,737,661,13,0.5723230331153637,5.026041666666667
6.596550507646828,14.671875,737,661,13,0.5723069157291064,5.026041666666667
6.602139378601709,14.681640625,737,661,13,0.572293672432067,5.026041666666667
6.605492643190908,14.6875,750,667,14,0.5722871107100908,5.026041666666667
6.608287002716833,14.6923828125,750,667,14,0.5722824377628964,5.026041666666667
6.61108134110493,14.697265625,750,667,14,0.5722784890841155,5.026041666666667
6.613875661894648,14.7021484375,750,667,14,0.5722752659548486,5.052083333333334
6.616669968631617,14.70703125,750,667,14,0.5722727696231306,5.052083333333334
6.619464264867486,14.7119140625,750,667,14,0.5722710013049626,5.052083333333334
6.622258554159768,14.716796875,750,667,14,0.5722699621844819,5.052083333333334
6.625052840071686,14.7216796875,750,667,14,0.5722696534138842,5.052083333333334
6.627847126172013,14.7265625,750,667,14,0.5722700761140137,5.052083333333334
6.6306414160349245,14.7314453125,750,667,14,0.572271231374346,5.052083333333334
6.6334357132398365,14.736328125,750,667,14,0.5722731202532362,5.052083333333334
6.636230021371275,14.7412109375,750,667,14,0.5722757437782662,5.052083333333334
6.639024344018698,14.74609375,750,667,14,0.5722791029463522,5.052083333333334
6.641818684776368,14.7509765625,750,667,14,0.5722831987240116,5.078125
6.644613047243196,14.755859375,750,667,14,0.5722880320475778,5.078125
6.647407435022591,14.7607421875,750,667,14,0.5722936038233848,5.078125
6.650201851722326,14.765625,750,667,14,0.5722999149280016,5.078125
6.652996300954381,14.7705078125,750,667,14,0.5723069662085157,5.078125
6.654463401263579,14.7730712890625,763,673,15,0.5723109647130746,5.078125
6.655860649428596,14.7755126953125,771,667,15,0.5723149627978569,5.078125
6.6572579075696074,14.7779541015625,771,667,15,0.5723191463346472,5.078125
6.6586551761394865,14.7803955078125,771,667,15,0.5723235154180332,5.078125
6.660052455591333,14.7828369140625,771,667,15,0.5723280701420015,5.078125
6.661449746378482,14.7852783203125,771,667,15,0.572332810598775,5.078125
6.662847048954485,14.7877197265625,771,667,15,0.5723377368787071,5.078125
6.66424436377312,14.7901611328125,771,667,15,0.5723428490704565,5.078125
6.66564169128837,14.7926025390625,771,667,15,0.5723481472608603,5.078125
6.667039031954432,14.7950439453125,771,667,15,0.5723536315349876,5.078125
6.6684363862257126,14.7974853515625,771,667,15,0.572359301976171,5.104166666666667
6.669833754556812,14.7999267578125,771,667,15,0.5723651586659854,5.104166666666667
6.670986594369277,14.80194091796875,784,673,16,0.5723701307036421,5.104166666666667
6.671685290154802,14.80316162109375,784,673,16,0.5723732058033487,5.104166666666667
6.672383989721136,14.80438232421875,784,673,16,0.572376327510967,5.104166666666667
6.673082693125177,14.80560302734375,784,673,16,0.5723794958359997,5.104166666666667
6.673781400423836,14.80682373046875,784,673,16,0.5723827107878844,5.104166666666667
6.674480111674038,14.80804443359375,784,673,16,0.5723859723759261,5.104166666666667
6.675178826932714,14.80926513671875,784,673,16,0.5723892806093319,5.104166666666667
6.675877546256813,14.81048583984375,784,673,16,0.5723926354972044,5.104166666666667
6.67657626970329,14.81170654296875,784,673,16,0.5723960370485293,5.104166666666667
6.677274997329114,14.81292724609375,784,673,16,0.572399485272195,5.104166666666667
6.677973729191262,14.81414794921875,784,673,16,0.5724029801769698,5.104166666666667
6.678672465346721,14.81536865234375,784,673,16,0.5724065217715317,5.104166666666667
6.679371205852494,14.81658935546875,784,673,16,0.5724101100644379,5.104166666666667
6.680069950765588,14.81781005859375,784,673,16,0.5724137450641507,5.104166666666667
6.680768700143021,14.81903076171875,784,673,16,0.5724174267790174,5.104166666666667
6.681240358543776,14.819854736328125,797,679,17,0.5724199383523341,5.104166666666667
6.681589736490311,14.820465087890625,797,679,17,0.5724218125058566,5.104166666666667
6.681939115584125,14.821075439453125,797,679,17,0.5724236983426048,5.104166666666667
6.682288495832352,14.821685791015625,797,679,17,0.5724255958635874,5.104166666666667
6.6826378772421196,14.822296142578125,797,679,17,0.5724275050698069,5.104166666666667
6.682987259820563,14.822906494140625,797,679,17,0.5724294259622542,5.104166666666667
6.683336643574814,14.823516845703125,797,679,17,0.5724313585419193,5.104166666666667
6.683686028512007,14.824127197265625,797,679,17,0.5724333028097762,5.104166666666667
6.6840354146392755,14.824737548828125,797,679,17,0.5724352587667978,5.104166666666667
6.6843848019637555,14.825347900390625,797,679,17,0.5724372264139578,5.104166666666667
6.684734190492579,14.825958251953125,797,679,17,0.5724392057522093,5.104166666666667
6.6850835802328845,14.826568603515625,797,679,17,0.5724411967825068,5.104166666666667
6.685432971191811,14.827178955078125,797,679,17,0.5724431995058005,5.104166666666667
6.685782363376494,14.827789306640625,797,679,17,0.5724452139230227,5.104166666666667
6.68613175679407,14.828399658203125,797,679,17,0.5724472400351142,5.104166666666667
6.686481151451675,14.829010009765625,797,679,17,0.5724492778429959,5.104166666666667
6.686830547356453,14.829620361328125,797,679,17,0.5724513273475931,5.104166666666667
6.687031450575885,14.829971313476562,810,685,18,0.5724525111133405,5.104166666666667
6.687206149367791,14.830276489257812,810,685,18,0.5724535436199014,5.104166666666667
6.687380848475215,14.830581665039062,810,685,18,0.5724545790511077,5.104166666666667
6.687555547899052,14.830886840820312,810,685,18,0.5724556174070733,5.104166666666667
6.687730247640193,14.831192016601562,810,685,18,0.5724566586879073,5.104166666666667
6.687904947699532,14.831497192382812,810,685,18,0.5724577028937239,5.104166666666667
