proper_time,time,nodes,dofs,levels,alpha,mass
3.690795447975813,8.69921875,653,577,10,0.3496325432573396,1.8880208333333335
3.718167991883105,8.77734375,665,589,10,0.3511996147362224,1.8880208333333335
3.745666707351888,8.85546875,665,589,10,0.35286788498394045,1.9010416666666667
3.7732995663213313,8.93359375,671,595,10,0.3546391426464654,1.9010416666666667
3.8010746838476708,9.01171875,677,601,10,0.35651526751157836,1.9140625
3.8290003252385083,9.08984375,677,601,10,0.3584982308212912,1.9270833333333335
3.8570849131931566,9.16796875,671,595,10,0.3605900950091071,1.953125
3.885337034895592,9.24609375,683,607,10,0.3627930127461596,1.9661458333333335
3.913765449004424,9.32421875,683,607,10,0.36510922515725497,1.9921875
3.9423790924684337,9.40234375,683,607,10,0.36754105909546025,2.018229166666667
3.97118708708801,9.48046875,683,607,10,0.3700909232378397,2.0442708333333335
4.000198745720422,9.55859375,675,613,10,0.3727613027846852,2.0833333333333335
4.0294235780111585,9.63671875,681,619,10,0.3755547524499451,2.1223958333333335
4.058871295504393,9.71484375,681,619,10,0.37847388751441186,2.1614583333333335
4.088551815974949,9.79296875,681,619,10,0.3815213725550951,2.2005208333333335
4.118475266775201,9.87109375,681,619,10,0.3846999073485279,2.252604166666667
4.148651986964717,9.94921875,693,631,10,0.38801220952569404,2.291666666666667
4.179092527946774,10.02734375,693,631,10,0.39146099343901813,2.34375
4.209807652291271,10.10546875,693,631,10,0.395048944452473,2.3958333333333335
4.240808330358915,10.18359375,693,631,10,0.3987786880386186,2.4348958333333335
4.272105734290865,10.26171875,693,631,10,0.4026527527430978,2.486979166666667
4.303711228848293,10.33984375,699,637,10,0.40667352604489193,2.526041666666667
4.335636358506584,10.41796875,699,637,10,0.4108432020782002,2.578125
4.367892830125963,10.49609375,699,637,10,0.41516371984977474,2.6302083333333335
4.4004924904022324,10.57421875,693,631,10,0.41963669074950977,2.6822916666666665
4.433447297211611,10.65234375,699,637,10,0.42426331379765875,2.7083333333333335
4.466769283829467,10.73046875,705,643,10,0.4290442770637349,2.7604166666666665
4.500470514894958,10.80859375,705,643,10,0.43397964381745724,2.8125
4.534563032814132,10.88671875,704,649,10,0.43906872084477416,2.8645833333333335
4.569058793404126,10.96484375,704,649,10,0.44430991205723325,2.890625
4.603969588946537,11.04296875,704,649,10,0.4497005444504978,2.9427083333333335
4.6393069573236625,11.12109375,704,649,10,0.4552366815475882,2.9947916666666665
4.675082075577709,11.19921875,698,643,10,0.4609129118189962,3.046875
4.711305636231454,11.27734375,698,643,10,0.4667221178391476,3.072916666666667
4.747987704886772,11.35546875,692,637,10,0.4726552274236118,3.125
4.785137557825111,11.43359375,692,637,10,0.47870095066600415,3.1770833333333335
4.822763498724838,11.51171875,686,631,10,0.48484550918908986,3.229166666666667
4.860872654209926,11.58984375,686,631,10,0.49107236686322026,3.2552083333333335
4.899470748796465,11.66796875,686,631,10,0.4973619748458204,3.307291666666667
4.938561860955854,11.74609375,680,625,10,0.5036915478806355,3.359375
4.978148163502331,11.82421875,680,625,10,0.5100348932766117,3.4114583333333335
5.0182296533526625,11.90234375,674,619,10,0.5163623184050334,3.4375
5.058803877866467,11.98046875,674,619,10,0.5226406462337205,3.4895833333333335
5.099865667384407,12.05859375,674,619,10,0.5288333708938486,3.541666666666667
5.141406886105386,12.13671875,674,619,10,0.5349009853256882,3.59375
5.1834162158391495,12.21484375,674,619,10,0.5408015095294053,3.619791666666667
5.225878989134751,12.29296875,674,619,10,0.5464912397880584,3.671875
5.268777089412409,12.37109375,668,613,10,0.551925725953302,3.7239583333333335
5.312088935625383,12.44921875,668,613,10,0.5570609651624542,3.776041666666667
5.355789567219758,12.52734375,668,613,10,0.5618547769252584,3.8020833333333335
5.3998508414938255,12.60546875,674,619,10,0.5662682993741625,3.854166666666667
5.444241749823679,12.68359375,674,619,10,0.5702675219401422,3.90625
5.488928851857919,12.76171875,668,613,10,0.573824751006374,3.9583333333333335
5.533876818286202,12.83984375,668,613,10,0.5769198959698997,3.984375
5.579049064052004,12.91796875,662,607,10,0.5795414672071612,4.036458333333334
5.624408446001395,12.99609375,662,607,10,0.5816871961215371,4.088541666666667
5.669917993040924,13.07421875,662,607,10,0.5833642190108582,4.114583333333334
5.715541633786973,13.15234375,662,607,10,0.5845888069410411,4.166666666666667
5.761244886908563,13.23046875,662,607,10,0.5853856671033982,4.21875
5.80699548285242,13.30859375,662,607,10,0.5857868801683963,4.270833333333334
5.852763891840405,13.38671875,662,607,10,0.5858305672945737,4.296875
5.898523741020092,13.46484375,662,607,10,0.5855593961173589,4.348958333333334
5.944252112338209,13.54296875,674,619,10,0.5850190366250694,4.401041666666667
5.989929721030556,13.62109375,674,619,10,0.5842566666223628,4.427083333333334
6.035540981721776,13.69921875,680,625,10,0.5833196070468925,4.479166666666667
6.081073974500034,13.77734375,680,625,10,0.5822541422475428,4.53125
6.126520326722077,13.85546875,680,625,10,0.5811045564589821,4.557291666666667
6.171875027886389,13.93359375,680,625,10,0.5799123949708422,4.609375
6.21713619491263,14.01171875,686,631,10,0.5787159415017387,4.661458333333334
6.2623048039972335,14.08984375,686,631,10,0.5775498907189567,4.6875
6.3073844032724695,14.16796875,686,631,10,0.5764451875732893,4.739583333333334
6.352380818159921,14.24609375,686,631,10,0.5754290025123115,4.791666666666667
6.3973018588780235,14.32421875,692,637,10,0.5745248116913251,4.817708333333334
6.442157037233466,14.40234375,692,637,10,0.5737525538588127,4.869791666666667
6.486957297753005,14.48046875,692,637,10,0.5731288394142167,4.921875
6.531714766439823,14.55859375,692,637,10,0.5726671911293937,4.947916666666667
6.5764425190094356,14.63671875,692,637,10,0.5723783005259608,5.0
6.621154369347863,14.71484375,698,643,10,0.5722702876285197,5.052083333333334
6.665864678110413,14.79296875,698,643,10,0.5723489553224513,5.078125
